driver,field_id,cfg,zone_id,name
sph_p,22040247,"{""measures"": [{""tag"": ""battery_0""}, {""tag"": ""press_0""}, {""tag"": ""press_1""}, {""tag"": ""t_rh_0""}, {""tag"": ""t_rh_1""}]}",B05Z04,sph_p2204024722040247
sph_p,22040286,"{""measures"": [{""tag"": ""battery_0""}, {""tag"": ""lux5_0""}, {""tag"": ""lux4_0""}, {""tag"": ""lux3_0""}, {""tag"": ""lux2_0""}, {""tag"": ""lux1_0""}, {""tag"": ""press_0""}, {""tag"": ""press_1""}, {""tag"": ""t_rh_0""}, {""tag"": ""t_rh_1""}]}",B05Z06,sph_p2204028622040286
sph_p,22040282,"{""measures"": [{""tag"": ""battery_0""}, {""tag"": ""lux5_0""}, {""tag"": ""lux4_0""}, {""tag"": ""lux3_0""}, {""tag"": ""lux2_0""}, {""tag"": ""lux1_0""}, {""tag"": ""press_0""}, {""tag"": ""press_1""}, {""tag"": ""t_rh_0""}, {""tag"": ""t_rh_1""}]}",B05Z01,sph_p2204028222040282
sph_p,22040327,"{""measures"": [{""tag"": ""battery_0""}, {""tag"": ""lux5_0""}, {""tag"": ""lux4_0""}, {""tag"": ""lux3_0""}, {""tag"": ""lux2_0""}, {""tag"": ""lux1_0""}, {""tag"": ""press_0""}, {""tag"": ""press_1""}, {""tag"": ""t_rh_0""}, {""tag"": ""t_rh_1""}]}",B05Z02,sph_p2204032722040327
sph_p,22040284,"{""measures"": [{""tag"": ""battery_0""}, {""tag"": ""lux5_0""}, {""tag"": ""lux4_0""}, {""tag"": ""lux3_0""}, {""tag"": ""lux2_0""}, {""tag"": ""lux1_0""}, {""tag"": ""press_0""}, {""tag"": ""press_1""}, {""tag"": ""t_rh_0""}, {""tag"": ""t_rh_1""}]}",B05Z03,sph_p2204028422040284
sph_p,22050254,"{""measures"": [{""tag"": ""tvoc_1""}, {""tag"": ""pm_0""}, {""tag"": ""pm_1""}, {""tag"": ""pm_2""}, {""tag"": ""pm_3""}, {""tag"": ""co2_1""}, {""tag"": ""battery_0""}]}",B05Z02,sph_p2205025422050254
sph_p,22050256,"{""measures"": [{""tag"": ""tvoc_1""}, {""tag"": ""pm_0""}, {""tag"": ""pm_1""}, {""tag"": ""pm_2""}, {""tag"": ""pm_3""}, {""tag"": ""co2_1""}, {""tag"": ""battery_0""}]}",B05Z04,sph_p2205025622050256
sph_p,22050243,"{""measures"": [{""tag"": ""tvoc_1""}, {""tag"": ""pm_0""}, {""tag"": ""pm_1""}, {""tag"": ""pm_2""}, {""tag"": ""pm_3""}, {""tag"": ""co2_1""}, {""tag"": ""battery_0""}]}",B05Z01,sph_p2205024322050243
sph_p,22050255,"{""measures"": [{""tag"": ""tvoc_1""}, {""tag"": ""pm_0""}, {""tag"": ""pm_1""}, {""tag"": ""pm_2""}, {""tag"": ""pm_3""}, {""tag"": ""co2_1""}, {""tag"": ""battery_0""}]}",B05Z03,sph_p2205025522050255
sph_p,22040285,"{""measures"": [{""tag"": ""battery_0""}, {""tag"": ""lux5_0""}, {""tag"": ""lux4_0""}, {""tag"": ""lux3_0""}, {""tag"": ""lux2_0""}, {""tag"": ""lux1_0""}, {""tag"": ""press_0""}, {""tag"": ""press_1""}, {""tag"": ""t_rh_0""}, {""tag"": ""t_rh_1""}]}",B05Z05,sph_p2204028522040285
